Colegio,geo_shape
CEIP Alejandra Soler,"{""coordinates"":[[-0.3756707179782018,39.46432942133747],[-0.3754815636078757,39.464050801087836],[-0.37523268831081624,39.46404663625721],[-0.3751536182277746,39.46397483218928],[-0.37466574574690464,39.463280149350176],[-0.3746790148451562,39.463239346433156],[-0.37460666338829474,39.46316220741226],[-0.37455988830966047,39.46312941631712],[-0.37415452258971094,39.46255219891495],[-0.37396969032049543,39.462289005987856],[-0.37396426621684814,39.462281281796656],[-0.37399017968892917,39.462197445833],[-0.37393320106297306,39.46218289558543],[-0.3739248395011235,39.462126667381575],[-0.3738615062545756,39.46205252891672]],""type"":""LineString""}"
CEIP L'Albereda,"{""coordinates"":[[-0.3427486020506116,39.45946803412411],[-0.34227965755094747,39.4593366998778],[-0.34215006730369674,39.45938786541827],[-0.3405059377320106,39.45897318333563]],""type"":""LineString""}"
CEIP L'Albereda,"{""coordinates"":[[-0.34155005171048375,39.45554165402879],[-0.3415951541841134,39.455535991289786]],""type"":""LineString""}"
CEIP L'Albereda,"{""coordinates"":[[-0.33946012949070525,39.461048733165],[-0.33978124276645266,39.46086349658104],[-0.3398430152701091,39.460766533120406],[-0.3400008799301828,39.46017987824182],[-0.3399929099336434,39.46011982991848],[-0.3400393782052308,39.46003854442737],[-0.34026173423153944,39.459210463756875],[-0.34021413875160295,39.459164498244704],[-0.34025561926367526,39.458998262098504],[-0.340342359252506,39.45894725315597],[-0.34050612499206184,39.458973118253375],[-0.3405738262730464,39.45889400755197],[-0.3406286994201219,39.45875414006592],[-0.34069104442203885,39.458636533904745],[-0.3407557870262086,39.45855166725484],[-0.34099758121283563,39.45770931381863],[-0.34100969057151037,39.457655897743294],[-0.3410429273820474,39.45757558921147],[-0.3412771749039956,39.4567072711553],[-0.34155005171048375,39.45554165402879]],""type"":""LineString""}"
CEIP 8 de Març,"{""coordinates"":[[-0.3910846743555307,39.46108668689052],[-0.3914363045911368,39.461292508325954],[-0.39155441388072726,39.46126659226043],[-0.39165748485477536,39.46127264693008],[-0.3920584345982289,39.46152197074333],[-0.39217123484509936,39.46157912425504],[-0.39208769121696757,39.46166274248584],[-0.3923555723554071,39.46182043141336],[-0.39240466925507234,39.46182153301019],[-0.39250268908293834,39.461875424904875],[-0.3925202364076177,39.46191201877943],[-0.3927551088945716,39.46205561602672],[-0.3930950449044084,39.46229827933698],[-0.39323249066257315,39.46236449710091],[-0.39332540296112817,39.46237523226047],[-0.3936567109136371,39.46252640584223],[-0.39516524033664574,39.46319465848981],[-0.39524133755414925,39.463196364062725],[-0.395350760561682,39.463264123308505],[-0.39547166769380787,39.46333166685783],[-0.3961003159092048,39.463609554808585],[-0.39625415948363163,39.46361103050264],[-0.3964912269299828,39.46370936495094],[-0.3964896822757154,39.46375079260143],[-0.3963561001071381,39.463830439832776],[-0.39642330875767734,39.46395509444905],[-0.39642833690609897,39.4640712895067],[-0.3963443883785535,39.46417672652382],[-0.3963311957544898,39.46420321962759],[-0.3962126177438806,39.46459960471195],[-0.39614782871771015,39.46461205194757],[-0.39606594713083104,39.46462778366977],[-0.3960270273397205,39.46467997004536],[-0.39598213576474234,39.4648484013837]],""type"":""LineString""}"
Colegio Salesianos,"{""coordinates"":[[-0.3726997161752166,39.49400068485789],[-0.3728328693207873,39.493781820564024],[-0.37298018761671814,39.49356834649718],[-0.3730472091291648,39.49339973577267],[-0.37305111110088895,39.49336105567456],[-0.37311820014076863,39.49326659126152],[-0.3731823385829556,39.49315408040879],[-0.37324182250627014,39.49315583776949],[-0.3732972344603357,39.493064166837655],[-0.37344108239898455,39.492797584483874],[-0.37360542390445534,39.4924740090525],[-0.37370236033950105,39.49228616109997],[-0.37372559889743506,39.49219921213043],[-0.3736558364087419,39.49206994324078],[-0.3736228248933364,39.49203924652733],[-0.37375847776314797,39.49176223279928],[-0.3737593301257201,39.491739593213225]],""type"":""LineString""}"
Colegio Salesianos,"{""coordinates"":[[-0.3744840518117166,39.49009558479802],[-0.37440710678193706,39.49007344758891]],""type"":""LineString""}"
Colegio Nuestra Señora del Rosario,"{""coordinates"":[[-0.3324854516622626,39.465712845091126],[-0.3323328904981925,39.465701729829874],[-0.3323284135196663,39.4657321171436],[-0.33201601653653484,39.46570988926184],[-0.332030033959474,39.465600895410084],[-0.3320549259524848,39.46545864229627],[-0.33208260956205116,39.465279889483696],[-0.33191923946914453,39.46525304582494],[-0.33195722545820994,39.46514017266233]],""type"":""LineString""}"
Colegio Nuestra Señora del Rosario,"{""coordinates"":[[-0.33306824262965073,39.463278097613056],[-0.33300206024388274,39.463628624333715],[-0.33295942537870266,39.463627645892885],[-0.3329302814141533,39.46362697704991],[-0.3328869060376383,39.463848451624266],[-0.3328645105687578,39.46387739983896],[-0.3328511750628002,39.46392940035255],[-0.33288214702916197,39.463971913543226],[-0.3326432413989905,39.465159115841004]],""type"":""LineString""}"
Colegio Nuestra Señora del Rosario,"{""coordinates"":[[-0.3293306412961723,39.464515344347625],[-0.32989659530235593,39.46456778305561],[-0.3306731115112087,39.46463972641253],[-0.3311131740553638,39.464699632947635],[-0.3317500291818758,39.46477575961967],[-0.3317226833128094,39.46492114723126],[-0.3320076223653752,39.46499185034018],[-0.33196639174305087,39.46511661083869]],""type"":""LineString""}"
