"","Fecha","Estacion","Media_SO2","Media_PM2.5","Media_NO2","Media_O3"
"95","2020-01-26","Moli del Sol",3,26.5,19.5416666666667,21.5833333333333
"96","2020-01-26","Pista Silla",4.33333333333333,16.7083333333333,35.4166666666667,19.2083333333333
"97","2020-01-27","Avda. Francia",3.77272727272727,7.63636363636364,18.6363636363636,43
"98","2020-01-27","Moli del Sol",3,12.9583333333333,12.0416666666667,36.125
"99","2020-01-27","Pista Silla",4,6.58333333333333,22.4166666666667,33.8333333333333
"100","2020-01-28","Avda. Francia",3.58333333333333,6.625,17.2916666666667,46.625
"101","2020-01-28","Moli del Sol",3,7.20833333333333,8.625,42
"102","2020-01-28","Pista Silla",4.5,3.66666666666667,16.7083333333333,39.625
"103","2020-01-28","Politecnico",3.25,4.875,21.375,40.875
"104","2020-01-29","Avda. Francia",3.125,4.95833333333333,20.875,38.6666666666667
"105","2020-01-29","Moli del Sol",3.20833333333333,6.33333333333333,11.7083333333333,34.6666666666667
"106","2020-01-29","Pista Silla",4,2.54166666666667,20.2083333333333,32
"107","2020-01-30","Avda. Francia",4.08333333333333,6.375,20.0416666666667,41.2083333333333
"108","2020-01-30","Moli del Sol",3.75,7.95833333333333,12.1666666666667,37.125
"109","2020-01-30","Pista Silla",4.1304347826087,3.60869565217391,20.6086956521739,34.3913043478261
"110","2020-01-31","Avda. Francia",4.75,7.54166666666667,21.1666666666667,38.75
"111","2020-01-31","Moli del Sol",3.625,8.375,14.75,33.0416666666667
"112","2020-01-31","Pista Silla",4.29166666666667,4.04166666666667,21.25,32.25
"113","2020-02-01","Avda. Francia",3.79166666666667,31.625,35.625,16.375
"114","2020-02-01","Moli del Sol",3,42.0416666666667,24.125,18.0833333333333
"115","2020-02-01","Pista Silla",6.58333333333333,26.5833333333333,40.8333333333333,14.5
"116","2020-02-01","Politecnico",4.08333333333333,32.7916666666667,25.4583333333333,21.4583333333333
"117","2020-02-02","Avda. Francia",3.58333333333333,6.625,17.875,30.75
"118","2020-02-02","Moli del Sol",3.875,7.91666666666667,9.70833333333333,27.625
"119","2020-02-02","Pista Silla",4.54166666666667,3.54166666666667,17.75,24.9166666666667
"120","2020-02-03","Avda. Francia",4.08333333333333,4.66666666666667,8.625,74.5416666666667
"121","2020-02-03","Moli del Sol",3.68181818181818,15.8181818181818,4.5,58.0454545454545
"122","2020-02-03","Pista Silla",4,8.20833333333333,10.75,57.125
"123","2020-02-03","Politecnico",4.70833333333333,5.33333333333333,4.625,62.375
"124","2020-02-04","Avda. Francia",3.45833333333333,3.29166666666667,2.58333333333333,80.0833333333333
"125","2020-02-04","Moli del Sol",5.47826086956522,8.26086956521739,6.65217391304348,68.1304347826087
"126","2020-02-04","Politecnico",3.08333333333333,3.54166666666667,3.625,65.3333333333333
"127","2020-02-05","Avda. Francia",3.125,3.20833333333333,6.20833333333333,49.9166666666667
"128","2020-02-05","Moli del Sol",4.04166666666667,5.375,4.33333333333333,48.375
"129","2020-02-05","Pista Silla",4.375,1.375,2.83333333333333,48.625
"130","2020-02-05","Politecnico",3,3.66666666666667,4.41666666666667,42.75
"131","2020-02-06","Avda. Francia",3,4.04166666666667,8.625,83.625
"132","2020-02-06","Moli del Sol",3.875,9.70833333333333,7.66666666666667,69.625
"133","2020-02-06","Pista Silla",5.25,8.33333333333333,21.5416666666667,78.8333333333333
"134","2020-02-06","Politecnico",3.25,6.75,8.91666666666667,77.5416666666667
"135","2020-02-07","Avda. Francia",3.14285714285714,2.14285714285714,10,72
"136","2020-02-07","Moli del Sol",3.04166666666667,18.0833333333333,6.66666666666667,56.7916666666667
"137","2020-02-07","Pista Silla",3.04166666666667,12.9583333333333,20.9166666666667,50.9166666666667
"138","2020-02-07","Politecnico",3,16.9166666666667,7.41666666666667,57.875
"139","2020-02-08","Avda. Francia",3.41666666666667,7.45833333333333,13.5,60.375
"140","2020-02-08","Moli del Sol",3.04166666666667,19.9166666666667,6.58333333333333,49
"141","2020-02-08","Politecnico",3,15.8888888888889,7.66666666666667,48.7777777777778
"142","2020-02-09","Avda. Francia",4.33333333333333,1.70833333333333,10.2916666666667,65.9583333333333
"143","2020-02-09","Moli del Sol",3.25,3.375,16.7083333333333,59.8333333333333
"144","2020-02-09","Pista Silla",3.20833333333333,4.625,23.25,72
"145","2020-02-09","Politecnico",3.125,4.91666666666667,7.29166666666667,67.0416666666667
"146","2020-02-10","Avda. Francia",3.58333333333333,4.04166666666667,7.66666666666667,54.4166666666667
"147","2020-02-10","Moli del Sol",3,3.41666666666667,7.75,58.5
"148","2020-02-10","Pista Silla",3.08333333333333,7.04166666666667,8.83333333333333,64.75
"149","2020-02-10","Politecnico",4.20833333333333,7.375,8.08333333333333,61.2916666666667
"150","2020-02-10","Puerto Valencia",3.04166666666667,9.25,18.0416666666667,54.5
"151","2020-02-11","Avda. Francia",5.25,10,25.9166666666667,30.4166666666667
"152","2020-02-11","Moli del Sol",4.25,24,30.75,31.7083333333333
"153","2020-02-11","Pista Silla",4.91304347826087,14,30.9565217391304,27.6086956521739
"154","2020-02-11","Politecnico",3,24.8,20.6,50.8666666666667
"155","2020-02-11","Puerto Valencia",4.5,9.54166666666667,37.8333333333333,32.25
"156","2020-02-12","Avda. Francia",3.60869565217391,2.30434782608696,18.2173913043478,41
"157","2020-02-12","Moli del Sol",3,6,7,67
"158","2020-02-12","Pista Silla",3,3.58333333333333,21.9166666666667,37.125
"159","2020-02-12","Politecnico",3.16666666666667,3.45833333333333,9.5,59.2916666666667
"160","2020-02-12","Puerto Valencia",3,2.04166666666667,20,41.0416666666667
"161","2020-02-13","Moli del Sol",5.54166666666667,47.75,26,20.2916666666667
"162","2020-02-13","Pista Silla",8.58333333333333,28.3333333333333,46.6666666666667,17.625
"163","2020-02-13","Politecnico",3.58333333333333,32.0416666666667,24.5,24.1666666666667
"164","2020-02-14","Avda. Francia",4.2,13.2666666666667,43.4666666666667,20.0666666666667
"165","2020-02-14","Moli del Sol",5.54545454545455,27.6818181818182,24.4545454545455,16.8181818181818
"166","2020-02-14","Pista Silla",5.40909090909091,13.9545454545455,45.6363636363636,11.4545454545455
"167","2020-02-14","Politecnico",3.375,17.125,27.3333333333333,15.9583333333333
"168","2020-02-15","Avda. Francia",5.79166666666667,18.5833333333333,27.375,31.0833333333333
"169","2020-02-15","Moli del Sol",5.375,34.3333333333333,16.2083333333333,29.875
"170","2020-02-15","Pista Silla",4,20.125,29.1666666666667,26.5416666666667
"171","2020-02-15","Politecnico",3,26.8333333333333,19.375,27.7916666666667
"172","2020-02-16","Avda. Francia",4.66666666666667,45.0833333333333,22.4583333333333,35.6666666666667
"173","2020-02-16","Moli del Sol",5.04166666666667,54.875,14.6666666666667,34.1666666666667
"174","2020-02-16","Pista Silla",4.04166666666667,30.6666666666667,24.3333333333333,32.8333333333333
"175","2020-02-16","Politecnico",3,41.125,15.625,29.5833333333333
"176","2020-02-17","Avda. Francia",4.625,50.5,31.9166666666667,29.125
"177","2020-02-17","Moli del Sol",5.52173913043478,68.695652173913,23.1304347826087,26.7391304347826
"178","2020-02-17","Pista Silla",6.16666666666667,33.9583333333333,33.5833333333333,28.5416666666667
"179","2020-02-17","Politecnico",3.08333333333333,47.125,22.4583333333333,26.0416666666667
"180","2020-02-18","Avda. Francia",3.04166666666667,12.2083333333333,20.875,49.4583333333333
"181","2020-02-18","Moli del Sol",5.54545454545455,34.6363636363636,18.8636363636364,32.7727272727273
"182","2020-02-18","Pista Silla",4.33333333333333,13.0833333333333,30.0833333333333,34.25
"183","2020-02-18","Politecnico",3,15.9545454545455,13.5,42.3181818181818
"184","2020-02-19","Avda. Francia",3.75,5.08333333333333,21.6666666666667,46.0416666666667
"185","2020-02-19","Moli del Sol",5,17.375,17.5416666666667,31.9166666666667
"186","2020-02-19","Pista Silla",4.04166666666667,8.58333333333333,33.9583333333333,30.0833333333333
"187","2020-02-19","Politecnico",3,9.5,18.5,36.7083333333333
"188","2020-02-20","Avda. Francia",3,8,48,9
"189","2020-02-20","Moli del Sol",5.33333333333333,23.9166666666667,20.375,22.4583333333333
"190","2020-02-20","Pista Silla",6.83333333333333,13.5833333333333,39.875,18.0833333333333
"191","2020-02-20","Politecnico",3.04166666666667,15.0833333333333,20.9583333333333,27.4166666666667
"192","2020-02-21","Moli del Sol",5.83333333333333,36.4583333333333,20.9583333333333,24.125
"193","2020-02-21","Pista Silla",6.45454545454545,21.6818181818182,49.5,14.1818181818182
"194","2020-02-21","Politecnico",3.08333333333333,26,29.0833333333333,19.9583333333333
"195","2020-02-22","Moli del Sol",5.33333333333333,36.4166666666667,21.9166666666667,28.25
"196","2020-02-22","Pista Silla",4.08333333333333,21.5833333333333,40.125,25
"197","2020-02-22","Politecnico",3,26.3333333333333,23.25,32.375
"198","2020-02-23","Moli del Sol",5,27.9583333333333,16.4583333333333,31.2916666666667
"199","2020-02-23","Pista Silla",4.04166666666667,17.25,33.7916666666667,28.2916666666667
"200","2020-02-23","Politecnico",3.70833333333333,20.4166666666667,21.8333333333333,33.4166666666667
"201","2020-02-24","Moli del Sol",5.625,26.125,30.8333333333333,23.875
"202","2020-02-24","Pista Silla",7.5,15.5,54.6666666666667,18.0833333333333
"203","2020-02-24","Politecnico",4.08333333333333,17.9166666666667,33.2916666666667,25.9583333333333
"204","2020-02-25","Moli del Sol",5.375,26.9583333333333,25.8333333333333,27
"205","2020-02-25","Pista Silla",4.5,15.625,45.0416666666667,22.5416666666667
"206","2020-02-25","Politecnico",3.66666666666667,17.5416666666667,30.5833333333333,25.7916666666667
"207","2020-02-26","Moli del Sol",5.16666666666667,18.9166666666667,27.4166666666667,24.2083333333333
"208","2020-02-26","Pista Silla",4.33333333333333,8.5,46.3333333333333,20.7916666666667
